재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	163,749,212,992	244,309,462,783	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_Assets	         자산총계	11,739,521,859,705	11,129,301,411,583	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForHedging	         위험회피목적파생상품자산	70,909,459,523	62,464,550,609	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	292,429,743,039	288,473,994,776	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	7,796,642,672,032	7,073,700,413,243	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	2,992,711,296,758	2,974,688,004,473	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	26,399,285,672	29,934,908,451	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_InvestmentProperty	         투자부동산	201,237,828,315	201,370,466,385	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates	         종속기업투자주식	134,671,371,288	186,080,172,598	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	34,240,379,779	41,218,132,221	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	26,530,610,307	27,061,306,044	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	dart_CapitalAdjustments	            자본조정	-104,207,937,500	-104,047,417,500	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	dart_CapitalSurplus	            자본잉여금	154,491,703,941	154,491,703,941	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	dart_HybridBonds	            신종자본증권	0	39,839,480,000	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_AccumulatedOtherComprehensiveIncome	            기타포괄손익누계액	-1,294,294,960,407	-1,069,073,152,594	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_Equity	            자본총계	945,911,301,781	1,118,819,766,942	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_IssuedCapital	            자본금	253,333,575,000	253,333,575,000	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_RetainedEarnings	            이익잉여금	1,936,588,920,747	1,844,275,578,095	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	11,739,521,859,705	11,129,301,411,583	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_Borrowings	            차입부채	298,990,897,804	0	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_DeferredTaxLiabilities	            이연법인세부채	39,075,261,705	75,336,067,713	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_DerivativeFinancialLiabilitiesHeldForHedging	            위험회피목적파생상품부채	160,218,397,036	294,819,990,838	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융부채	0	153,890,772	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_InsuranceContractsIssuedThatAreLiabilities	            보험계약부채	9,362,348,037,450	8,695,421,576,985	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_InvestmentContractsLiabilities	            투자계약부채	780,643,547,943	786,320,397,426	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_Liabilities	            부채총계	10,793,610,557,924	10,010,481,644,641	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_OtherNonfinancialLiabilities	            기타부채	93,643,401,922	109,208,579,683	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_ReinsuranceContractsHeldThatAreLiabilities	            재보험계약부채	58,691,014,064	49,221,141,224	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_Assets	         자산총계	55,939,891,000,000	52,858,940,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_CashAndCashEquivalents	         현금및현금성자산	867,615,000,000	597,329,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_DerivativeFinancialAssets	         파생상품자산	306,362,000,000	149,469,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForHedging	            위험회피목적파생상품자산	306,362,000,000	149,469,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	15,696,430,000,000	13,869,535,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	21,420,872,000,000	22,226,036,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	12,879,695,000,000	11,418,284,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_InsuranceContractsIssuedThatAreAssets	         보험계약자산	706,149,000,000	693,051,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	77,798,000,000	85,256,000,000	93,270,000,000
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_InvestmentProperty	         투자부동산	751,840,000,000	750,556,000,000	755,241,000,000
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates	         관계종속기업투자자산	1,054,193,000,000	1,019,191,000,000	
 재무상태표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-06-30	반기보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	75,003,000,000	64,352,000,000	
